Sira,Kelime,Frekans
1,açıklama,53
2,genel,53
3,ekrem,52
4,yapıyorum,42
5,gerçekleştiriyoruz,39
6,i̇stanbul,38
7,milletin,37
8,halk,36
9,özgür,34
10,adalet,34
11,mayıs,33
12,birlikte,33
13,başkanı,33
14,özel,31
15,cumhuriyet,31
16,millet,31
17,sahip,30
18,cumhurbaşkanı,29
19,yanıtlıyorum,29
20,sorularını,28
21,gazetecilerin,25
22,hep,25
23,partisi,24
24,erdoğan,23
25,büyük,22
26,grup,22
27,karşı,21
28,gün,20
29,iktidar,20
30,nisan,20
31,meydanı,20
32,olsun,20
33,partimizin,20
34,toplantısını,20
35,türkiye,20
36,ediyorum,20
37,anıyorum,19
38,ediyoruz,19
39,mart,19
40,eczozgurozel,18
41,belediyemizin,18
42,yıl,18
43,i̇mamoğlu,18
44,ardından,17
45,belediye,17
46,parti,17
47,devam,17
48,diliyorum,17
49,yılında,16
50,teşekkür,16
51,tek,16
52,kemal,16
53,ortak,16
54,adayımız,15
55,başkanımız,15
56,seçim,15
57,durmayacağız,15
58,ilk,15
59,türkiye’nin,14
60,büyükşehir,14
61,silivri,14
62,takip,14
63,mustafa,14
64,siyasi,13
65,kazanacak,13
66,değil,13
67,yapıyoruz,13
68,atatürk,13
69,iftar,12
70,kent,12
71,üzere,12
72,davet,12
73,yayın,11
74,programındayız,11
75,sandığı,11
76,sayın,11
77,çarşamba,11
78,akşam,10
79,canlı,10
80,deprem,10
81,tayyip,10
82,gelecek,10
83,bin,10
84,i̇radesine,10
85,barış,10
86,yeniden,10
87,ziyaretimizin,10
88,http,10
89,türk,10
90,saygıyla,10
91,ankara,9
92,ziyaret,9
93,sesini,9
94,kez,9
95,merkezimizde,9
96,saygı,9
97,cumartesi,9
98,varsa,9
99,sizin,9
100,çıkıyor,9
